Date,Timestamp,Currency,Rate_to_USD
2025-11-04,2025-11-04T06:00:00,ARS,964.5000
2025-11-04,2025-11-04T06:00:00,AUD,1.5351
2025-11-04,2025-11-04T06:00:00,BRL,5.7234
2025-11-04,2025-11-04T06:00:00,CAD,1.3957
2025-11-04,2025-11-04T06:00:00,CHF,0.8843
2025-11-04,2025-11-04T06:00:00,CNY,7.1245
2025-11-04,2025-11-04T06:00:00,COP,4387.2500
2025-11-04,2025-11-04T06:00:00,EGP,49.3400
2025-11-04,2025-11-04T06:00:00,EUR,0.9526
2025-11-04,2025-11-04T06:00:00,GBP,0.7786
2025-11-04,2025-11-04T06:00:00,IDR,15845.0000
2025-11-04,2025-11-04T06:00:00,INR,84.0750
2025-11-04,2025-11-04T06:00:00,JPY,153.2100
2025-11-04,2025-11-04T06:00:00,KES,129.5000
2025-11-04,2025-11-04T06:00:00,MXN,20.2350
2025-11-04,2025-11-04T06:00:00,NGN,1634.5000
2025-11-04,2025-11-04T06:00:00,NZD,1.6892
2025-11-04,2025-11-04T06:00:00,PHP,58.4200
2025-11-04,2025-11-04T06:00:00,PKR,278.0000
2025-11-04,2025-11-04T06:00:00,THB,34.7500
2025-11-04,2025-11-04T06:00:00,TRY,34.2800
2025-11-04,2025-11-04T06:00:00,VND,25350.0000
2025-11-04,2025-11-04T06:00:00,ZAR,18.1250
