Date,Timestamp,Currency,Rate_to_USD
2026-05-25,2026-05-26T10:05:53.175671,AUD,1.3948
2026-05-25,2026-05-26T10:05:53.175671,BRL,5.0026
2026-05-25,2026-05-26T10:05:53.175671,CAD,1.3813
2026-05-25,2026-05-26T10:05:53.175671,CHF,0.7815
2026-05-25,2026-05-26T10:05:53.175671,CNY,6.7843
2026-05-25,2026-05-26T10:05:53.175671,EUR,0.85889
2026-05-25,2026-05-26T10:05:53.175671,GBP,0.74083
2026-05-25,2026-05-26T10:05:53.175671,IDR,17734
2026-05-25,2026-05-26T10:05:53.175671,INR,95.24
2026-05-25,2026-05-26T10:05:53.175671,JPY,158.93
2026-05-25,2026-05-26T10:05:53.175671,MXN,17.2679
2026-05-25,2026-05-26T10:05:53.175671,NZD,1.7023
2026-05-25,2026-05-26T10:05:53.175671,PHP,61.286
2026-05-25,2026-05-26T10:05:53.175671,THB,32.48
2026-05-25,2026-05-26T10:05:53.175671,TRY,45.714
2026-05-25,2026-05-26T10:05:53.175671,ZAR,16.3292
