Date,Timestamp,Currency,Rate_to_USD
2025-12-24,2025-12-26T06:39:45.524350,AUD,1.4921
2025-12-24,2025-12-26T06:39:45.524350,BRL,5.521
2025-12-24,2025-12-26T06:39:45.524350,CAD,1.3683
2025-12-24,2025-12-26T06:39:45.524350,CHF,0.78765
2025-12-24,2025-12-26T06:39:45.524350,CNY,7.0144
2025-12-24,2025-12-26T06:39:45.524350,EUR,0.84839
2025-12-24,2025-12-26T06:39:45.524350,GBP,0.74056
2025-12-24,2025-12-26T06:39:45.524350,IDR,16747
2025-12-24,2025-12-26T06:39:45.524350,INR,89.74
2025-12-24,2025-12-26T06:39:45.524350,JPY,155.96
2025-12-24,2025-12-26T06:39:45.524350,MXN,17.9028
2025-12-24,2025-12-26T06:39:45.524350,NZD,1.7135
2025-12-24,2025-12-26T06:39:45.524350,PHP,58.767
2025-12-24,2025-12-26T06:39:45.524350,THB,31.045
2025-12-24,2025-12-26T06:39:45.524350,TRY,42.85
2025-12-24,2025-12-26T06:39:45.524350,ZAR,16.6362
